YEAR,MO,DY,HR,T2M;
2015,2,2,14,6.6;
2015,2,2,15,6.41;
2015,2,2,16,5.77;
2015,2,2,17,5.26;
2015,2,2,18,5.0;
2015,2,2,19,4.58;
2015,2,2,20,4.2;
2015,2,2,21,3.9;
2015,2,2,22,3.7;
2015,2,2,23,3.44;
2015,2,3,0,3.16;
2015,2,3,1,3.08;
2015,2,3,2,3.06;
2015,2,3,3,3.08;
2015,2,3,4,3.12;
2015,2,3,5,3.16;
2015,2,3,6,3.35;
2015,2,3,7,3.79;
2015,2,3,8,4.49;
2015,2,3,9,5.08;
2015,2,3,10,5.6;
2015,2,3,11,6.05;
2015,2,3,12,6.33;
2015,2,3,13,6.37;
2015,2,3,14,6.31;
2015,2,3,15,6.06;
2015,2,3,16,5.21;
2015,2,3,17,4.37;
2015,2,3,18,4.2;
2015,2,3,19,4.18;
2015,2,3,20,4.24;
2015,2,3,21,4.43;
2015,2,3,22,4.69;
2015,2,3,23,4.73;
2015,2,4,0,4.49;
2015,2,4,1,4.19;
2015,2,4,2,4.13;
2015,2,4,3,4.05;
2015,2,4,4,3.82;
2015,2,4,5,3.83;
2015,2,4,6,4.11;
2015,2,4,7,4.25;
2015,2,4,8,4.51;
2015,2,4,9,5.05;
2015,2,4,10,5.74;
2015,2,4,11,6.49;
2015,2,4,12,6.93;
2015,2,4,13,7.16;
2015,2,4,14,7.19;
2015,2,4,15,6.87;
2015,2,4,16,6.2;
2015,2,4,17,5.56;
2015,2,4,18,5.37;
2015,2,4,19,5.12;
2015,2,4,20,4.82;
2015,2,4,21,4.59;
2015,2,4,22,4.44;
2015,2,4,23,4.33;
2015,2,5,0,4.16;
2015,2,5,1,3.88;
2015,2,5,2,3.65;
2015,2,5,3,3.37;
2015,2,5,4,3.12;
2015,2,5,5,3.14;
2015,2,5,6,3.15;
2015,2,5,7,2.87;
2015,2,5,8,2.43;
2015,2,5,9,2.34;
2015,2,5,10,2.4;
2015,2,5,11,2.58;
2015,2,5,12,2.76;
2015,2,5,13,2.98;
2015,2,5,14,3.55;
